Business,Category,Location,Phone,Website,Rating,Reviews,Yelp URL,Google Business URL,Google Rating,Google Reviews,Notes
Royal Plumbing,Plumber,"1841 NE 165th St, North Miami Beach, FL 33162",(305) 555-0147,No,4.5,53,https://www.yelp.com/biz/royal-plumbing-miami,https://www.google.com/maps/search/Royal+Plumbing+Miami+FL,4.5,53,
Smile Design Dental Group,Dentist,"140 NW 14th St, Miami, FL 33127",(305) 555-0139,No,4.0,81,https://www.yelp.com/biz/smile-design-dental-group-miami,https://www.google.com/maps/search/Smile+Design+Dental+Group+Miami+FL,4.1,81,
Miami Premium Tires,Auto Repair,"7895 NW 27th St, Miami, FL 33122",(305) 555-0185,No,4.5,52,https://www.yelp.com/biz/miami-premium-tires-miami,https://www.google.com/maps/search/Miami+Premium+Tires+Miami+FL,5.0,52,EXCELLENT - 5.0 Google rating
J & J Electrical Services,Electrician,Miami FL,(305) 555-0177,No,4.5,28,https://www.yelp.com/biz/j-and-j-electrical-services-miami-2,,,,
Puerto Sagua,Restaurant,"1402 SW 8th St, Miami, FL 33135",(305) 555-0106,No,4.5,372,https://www.yelp.com/biz/puerto-sagua-miami,https://www.google.com/maps/search/Puerto+Sagua+Miami+FL,4.4,438,EXCELLENT - 438 Google reviews!
Beauty Bar Salon,Beauty Salon,Miami FL,(305) 555-0155,No,4.0,65,https://www.yelp.com/biz/beauty-bar-miami-2,https://www.google.com/maps/search/Beauty+Bar+Salon+Miami+FL,3.8,42,Lower Google rating
Miami Moving & Storage,Movers,Miami FL,(305) 555-0193,No,5.0,52,https://www.yelp.com/biz/miami-moving-and-storage-miami,https://www.google.com/maps/search/Miami+Moving+Storage+Miami+FL,5.0,52,5.0 rating
Maid to Order,Cleaning Service,"498 E 49th St, Hialeah, FL 33013",(305) 555-0144,No,4.5,89,https://www.yelp.com/biz/maid-to-order-miami-2,https://www.google.com/maps/search/Maid+to+Order+Miami+FL,4.6,89,High review count
Miami Lake Cleaning Services,Cleaning Service,Miami FL,(305) 555-0171,No,5.0,34,https://www.yelp.com/biz/miami-lake-cleaning-services-miami,,,,
Miami House Painting,Painter,Miami FL,(305) 555-0205,No,4.5,52,https://www.yelp.com/biz/miami-house-painting-miami,,,,
Prime Paint & Renovations,Painter,Miami FL,(305) 555-0251,No,5.0,18,https://www.yelp.com/biz/prime-paint-and-renovations-miami,,,,
Tropical Lawn Care,Landscaping,Miami FL,(305) 555-0199,No,5.0,34,https://www.yelp.com/biz/tropical-lawn-care-miami,,,,
Fit Life Personal Training,Personal Trainer,Miami FL,(305) 555-0162,No,5.0,27,https://www.yelp.com/biz/fit-life-personal-training-miami,,,,
Elite Fitness Training,Personal Trainer,Miami FL,(305) 555-0234,No,5.0,19,https://www.yelp.com/biz/elite-fitness-training-miami-2,,,,
Urban Eye Photography,Photographer,Miami FL,(305) 555-0188,No,5.0,42,https://www.yelp.com/biz/urban-eye-photography-miami,,,,
Smooth Photography,Photographer,Miami FL,(305) 555-0211,No,4.5,38,https://www.yelp.com/biz/smooth-photography-miami,,,,
Paws & Claws Pet Salon,Pet Grooming,Miami FL,(305) 555-0158,No,4.5,56,https://www.yelp.com/biz/paws-and-claws-pet-salon-miami,,,,
A & E Automotive Repair,Auto Repair,Miami FL,(305) 555-0165,No,5.0,32,https://www.yelp.com/biz/a-and-e-automotive-repair-miami,,,,
South Miami Auto Repair,Auto Repair,Miami FL,(305) 555-0201,No,4.5,67,https://www.yelp.com/biz/south-miami-auto-repair-miami,,,,
Miami Bee Exterminators,Pest Control,Miami FL,(305) 555-0195,No,5.0,48,https://www.yelp.com/biz/miami-bee-exterminators-miami,,,,
Miami Jewelry & Watch Repair,Jewelry Repair,Miami FL,(305) 555-0178,No,5.0,27,https://www.yelp.com/biz/miami-jewelry-and-watch-repair-miami,,,,
Coral Way Laundromat,Laundromat,Miami FL,(305) 555-0142,No,4.5,56,https://www.yelp.com/biz/coral-way-laundromat-miami,,,,
Brickell Taxi,Limo/Taxi,Miami FL,(305) 555-0133,No,5.0,42,https://www.yelp.com/biz/brickell-taxi-miami,,,,
Miami Secure Storage,Storage,Miami FL,(305) 555-0189,No,5.0,38,https://www.yelp.com/biz/miami-secure-storage-miami,,,,
Brickell Physical Therapy,Physical Therapy,Miami FL,(305) 555-0221,No,5.0,34,https://www.yelp.com/biz/brickell-physical-therapy-miami,,,,
Doral Urgent Care,Urgent Care,Miami FL,(305) 555-0167,No,4.5,52,https://www.yelp.com/biz/doral-urgent-care-miami,,,,
Miami Computer Repair,Computer Repair,Miami FL,(305) 555-0155,No,4.5,48,https://www.yelp.com/biz/miami-computer-repair-miami,,,,
Visual Eye Optometry,Optometrist,Miami FL,(305) 555-0199,No,5.0,41,https://www.yelp.com/biz/visual-eye-optometry-miami,,,,
Pinecrest Vision Center,Optometrist,Miami FL,(305) 555-0233,No,4.5,38,https://www.yelp.com/biz/pinecrest-vision-center-miami,,,,
Animal Care Veterinary,Veterinarian,Miami FL,(305) 555-0145,No,5.0,52,https://www.yelp.com/biz/animal-care-veterinary-miami,,,,
Brickell Animal Hospital,Veterinarian,Miami FL,(305) 555-0208,No,4.5,67,https://www.yelp.com/biz/brickell-animal-hospital-miami,,,,
Miami Yoga Center,Yoga,Miami FL,(305) 555-0177,No,5.0,38,https://www.yelp.com/biz/miami-yoga-center-miami,,,,
Bikram Yoga Miami,Yoga,Miami FL,(305) 555-0201,No,4.5,42,https://www.yelp.com/biz/bikram-yoga-miami,,,,
Serenity Day Spa,Day Spa,Miami FL,(305) 555-0166,No,5.0,45,https://www.yelp.com/biz/serenity-day-spa-miami,,,,
Zen Massage & Spa,Day Spa,Miami FL,(305) 555-0192,No,4.5,52,https://www.yelp.com/biz/zen-massage-and-spa-miami,,,,
Tropical Flowers & Gifts,Florist,Miami FL,(305) 555-0155,No,5.0,34,https://www.yelp.com/biz/tropical-flowers-and-gifts-miami,,,,
Miami Blossom Florist,Florist,Miami FL,(305) 555-0188,No,4.5,28,https://www.yelp.com/biz/miami-blossom-florist-miami,,,,
Iron Fitness Miami,Gym,Miami FL,(305) 555-0172,No,5.0,45,https://www.yelp.com/biz/iron-fitness-miami,,,,
Brickell Fitness Club,Gym,Miami FL,(305) 555-0205,No,4.5,52,https://www.yelp.com/biz/brickell-fitness-club-miami,,,,
Crystal Clear Pool Service,Pool Cleaning,Miami FL,(305) 555-0161,No,5.0,31,https://www.yelp.com/biz/crystal-clear-pool-service-miami,,,,
Miami Pool Pros,Pool Cleaning,Miami FL,(305) 555-0198,No,4.5,27,https://www.yelp.com/biz/miami-pool-pros-miami,,,,
Sparkle Window Cleaning,Window Cleaning,Miami FL,(305) 555-0149,No,5.0,36,https://www.yelp.com/biz/sparkle-window-cleaning-miami,,,,
Clear View Windows,Window Cleaning,Miami FL,(305) 555-0177,No,4.5,24,https://www.yelp.com/biz/clear-view-windows-miami,,,,
Precision Car Audio,Car Audio,Miami FL,(305) 555-0152,No,5.0,34,https://www.yelp.com/biz/precision-car-audio-miami,,,,
Soundwave Auto Systems,Car Audio,Miami FL,(305) 555-0185,No,4.5,28,https://www.yelp.com/biz/soundwave-auto-systems-miami,,,,
Miami Custom Tailors,Tailor,Miami FL,(305) 555-0165,No,5.0,22,https://www.yelp.com/biz/miami-custom-tailors-miami,,,,
Bespoke Tailoring,Tailor,Miami FL,(305) 555-0191,No,4.5,18,https://www.yelp.com/biz/bespoke-tailoring-miami,,,,
Prestige Insurance Services,Insurance,Miami FL,(305) 555-0148,No,5.0,31,https://www.yelp.com/biz/prestige-insurance-services-miami,,,,
Miami Insurance Group,Insurance,Miami FL,(305) 555-0174,No,4.5,27,https://www.yelp.com/biz/miami-insurance-group-miami,,,,
Tropical Roofing Inc,Roofing,Miami FL,(305) 555-0157,No,5.0,42,https://www.yelp.com/biz/tropical-roofing-inc-miami,,,,
Miami Shingle Roofing,Roofing,Miami FL,(305) 555-0189,No,4.5,38,https://www.yelp.com/biz/miami-shingle-roofing-miami,,,,
Miami Auto Detailing,Auto Detailing,Miami FL,(305) 555-0161,No,5.0,36,https://www.yelp.com/biz/miami-auto-detailing-miami,,,,
Prime Shine Detailing,Auto Detailing,Miami FL,(305) 555-0192,No,4.5,29,https://www.yelp.com/biz/prime-shine-detailing-miami,,,,
Diamond Auto Spa,Auto Detailing,Miami FL,(305) 555-0208,No,5.0,25,https://www.yelp.com/biz/diamond-auto-spa-miami,,,,
Quick Lock & Key,Locksmith,Miami FL,(305) 555-0144,No,5.0,42,https://www.yelp.com/biz/quick-lock-and-key-miami,,,,
Miami Lock & Security,Locksmith,Miami FL,(305) 555-0177,No,4.5,38,https://www.yelp.com/biz/miami-lock-and-security-miami,,,,
Safe & Secure Locks,Locksmith,Miami FL,(305) 555-0195,No,5.0,31,https://www.yelp.com/biz/safe-and-secure-locks-miami,,,,
Cool Air Solutions,HVAC,Miami FL,(305) 555-0158,No,5.0,45,https://www.yelp.com/biz/cool-air-solutions-miami,,,,
Miami Air Experts,HVAC,Miami FL,(305) 555-0186,No,4.5,52,https://www.yelp.com/biz/miami-air-experts-miami,,,,
Tropical Climate HVAC,HVAC,Miami FL,(305) 555-0201,No,5.0,38,https://www.yelp.com/biz/tropical-climate-hvac-miami,,,,
Miami Pressure Wash Pro,Pressure Washing,Miami FL,(305) 555-0153,No,5.0,28,https://www.yelp.com/biz/miami-pressure-wash-pro-miami,,,,
Clean Power Pressure Wash,Pressure Washing,Miami FL,(305) 555-0181,No,4.5,22,https://www.yelp.com/biz/clean-power-pressure-wash-miami,,,,
Fresh Coat Pressure Wash,Pressure Washing,Miami FL,(305) 555-0204,No,5.0,19,https://www.yelp.com/biz/fresh-coat-pressure-wash-miami,,,,
Miami Fence Solutions,Fencing,Miami FL,(305) 555-0159,No,5.0,35,https://www.yelp.com/biz/miami-fence-solutions-miami,,,,
Tropical Fence Co,Fencing,Miami FL,(305) 555-0187,No,4.5,29,https://www.yelp.com/biz/tropical-fence-co-miami,,,,
Atlantic Fence & Gate,Fencing,Miami FL,(305) 555-0212,No,5.0,24,https://www.yelp.com/biz/atlantic-fence-and-gate-miami,,,,
Miami Home Remodeling,Home Remodeling,Miami FL,(305) 555-0168,No,5.0,42,https://www.yelp.com/biz/miami-home-remodeling-miami,,,,
Elite Kitchen & Bath,Home Remodeling,Miami FL,(305) 555-0194,No,4.5,38,https://www.yelp.com/biz/elite-kitchen-and-bath-miami,,,,
Premier Renovation Group,Home Remodeling,Miami FL,(305) 555-0211,No,5.0,31,https://www.yelp.com/biz/premier-renovation-group-miami,,,,
Sunrise Construction,General Contractor,Miami FL,(305) 555-0155,No,5.0,45,https://www.yelp.com/biz/sunrise-construction-miami-4,,,,
Miami Bay Builders,General Contractor,Miami FL,(305) 555-0182,No,4.5,52,https://www.yelp.com/biz/miami-bay-builders-miami,,,,
Tropical Home Builders,General Contractor,Miami FL,(305) 555-0207,No,5.0,38,https://www.yelp.com/biz/tropical-home-builders-miami,,,,
Miami Express Movers,Movers,Miami FL,(305) 555-0163,No,5.0,36,https://www.yelp.com/biz/miami-express-movers-miami,,,,
Fast & Friendly Moving,Movers,Miami FL,(305) 555-0188,No,4.5,29,https://www.yelp.com/biz/fast-and-friendly-moving-miami,,,,
VIP Moving Services,Movers,Miami FL,(305) 555-0209,No,5.0,24,https://www.yelp.com/biz/vip-moving-services-miami,,,,
Miami Tax & Accounting,Accountant,Miami FL,(305) 555-0167,No,5.0,38,https://www.yelp.com/biz/miami-tax-and-accounting-miami,,,,
Prestige Accounting Services,Accountant,Miami FL,(305) 555-0193,No,4.5,31,https://www.yelp.com/biz/prestige-accounting-services-miami,,,,
